
New le type         Old le type
------------------- -------------------------------- 
v_pp_unacc_le       v_unacc_dir_le
v_vp_ssr_le         v_ssr_le
v_vp_ssr-prp_le     v_ssr_prp_le
v_vp_ssr-nimp_le    v_ssr_noimp_le
v_ap_ssr_le         v_prd_ssr_adj_le
v_pp-vp_ssr_le      v_pp_inf_ssr_le
v_ap-pp_seq_le      v_prdp_pp_seq_adj_le
v_pp-pp_seq_le      v_prdp_pp_seq_prep_le
v_prd-pp_seq_le     v_prdp_pp_seq_a_or_p_le
v_ap-pp_about_le    v_prdp_pp_seq_about_le
v_np-pp_to_le       v_to_trans_le
v_np-pp*_to_le      v_to*_trans_le
v_np*-pp_to_le      v_to_trans*_le
v_np*-pp*_to_le     v_to*_trans*_le
v_-_unacc_le        v_unacc_le
v_-_le              v_unerg_le
v_-_imp_le          v_unerg_imp_le
v_-_bse_le          v_unerg_bse_le
v_np_poss_le        v_poss_le
v_np_got_le         v_poss_got_le
v_prd_got_le        v_poss_got_prd_le
v_cp_rkey-bse_le    v_cp_prop_raise_key_bse_le
v_cp_rkey-3sg_le    v_cp_prop_raise_key_pres3sg_le
v_cp_rkey-n3sg_le   v_cp_prop_raise_key_presnon3sg_le
v_cp_rkey-pst_le    v_cp_prop_raise_key_past_le
v_cp_rkey-prp_le    v_cp_prop_raise_key_prp_le
v_cp_rkey-psp_le    v_cp_prop_raise_key_psp_le
v_adv_le            v_adv_le
v_vp_sorb-psv_le    v_sorb_pass_le
v_-_psv_le          v_unerg_psv_le
v_-_psv-neg_le      v_unerg_psv_neg_le
v_np_thr-s_le       v_there_le
v_-_qt-top_le       v_quote_top_le
v_np_qt-inv_le      v_quote_inv_le
v_cp_qt_le          v_quote_mc_le
v_np_locinv_mv_le   v_loc_inv_mv_le
v_np_locinv-is_le   v_loc_inv_is_le
v_np_locinv-are_le  v_loc_inv_are_le
v_np_locinv-was_le  v_loc_inv_was_le
v_np_locinv-were_le v_loc_inv_were_le
v_np*_bse-unk_le    v_np*_trans_bse_nale
v_np*_pr-3s-unk_le  v_np*_trans_pres3sg_nale
v_np*_pr-n3s-unk_le v_np*_trans_presn3sg_nale
v_np*_pa-unk_le     v_np*_trans_past_nale
v_np*_psp-unk_le    v_np*_trans_psp_nale
v_np*_prp-unk_le    v_np*_trans_prp_nale
v_vp_will-p_le      va_will_pos_le
v_vp_will-p-cx_le   va_will_pos_cx_le
v_vp_will-n_le      va_will_neg_le
v_vp_will-n-niv_le  va_will_neg_noinv_le
v_vp_mdl-p_le       va_would_pos_le
v_vp_mdl-p-cx_le    va_would_pos_cx_le
v_vp_mdl-n_le       va_would_neg_le
v_vp_mdl-n-pst_le   va_would_neg_le
v_vp_mdl-n-niv_le   va_would_neg_noinv_le
v_vp_mdl-p_le       va_modal_pos_le
v_vp_mdl-p-pst_le   va_modal_pos_le
v_vp_mdl-p-niv_le   va_modal_pos_noninv_le
v_vp_mdl-p-sv_le    va_modal_subj_pos_le
v_vp_mdl-p_le       va_modal_pos_unsp_le
v_vp_oght-p_le      va_ought_pos_le
v_vp_oght-p-pst_le  va_past_ought_pos_le
v_vp_qsmd_le        va_quasimodal_le
v_vp_qsmd-psp_le    va_quasimodal_psp_le
v_vp_qsmd-bse_le    va_quasimodal_bse_le
v_vp_mdl-n_le       va_modal_neg_le
v_vp_mdl-n-niv_le   va_modal_neg_noinv_le
v_vp_mdl-n-sv_le    va_modal_subj_neg_le
v_vp_mdl-n_le       va_modal_neg_unsp_le
v_vp_oght-n_le      va_ought_neg_le
v_vp_does_le        va_does_le
v_vp_do-f_le        va_do_fin_le
v_vp_did_le         va_did_le
v_vp_did-n_le       va_do_neg_past_le
v_vp_does-n_le      va_doesnt_neg_pres_le
v_vp_do-f-n_le      va_dont_neg_pres_le
v_vp_have-prp_le    va_have_prespart_le
v_vp_have-bse_le    va_have_bse_le
v_vp_have-bse-cx_le va_have_bse_cx_le
v_vp_has_le         va_has_le
v_vp_has-cx_le      va_has_cx_le
v_vp_have-f_le      va_have_fin_le
v_vp_have-f-cx_le   va_have_fin_cx_le
v_vp_had-sv_le      va_had_subj_le
v_vp_had_le         va_had_le
v_vp_had-cx_le      va_had_cx_le
v_vp_has-n_le       va_has_neg_le
v_vp_has-n-niv_le   va_has_neg_noinv_le
v_vp_have-f-n_le    va_have_fin_neg_le
v_vp_have-n-niv_le  va_have_fin_neg_noinv_le
v_vp_had-n_le       va_had_neg_le
v_vp_had-n-niv_le   va_had_neg_noinv_le
v_vp_had-n-sv_le    va_had_subj_neg_le
v_vp_shld-of_le     should_of_aux_le
v_vp_lets-imp_le    va_lets_imp_le
v_vp_dont-imp_le    va_dont_imp_le
v_prd_be_le         vc_prd_be_le
v_prd_being_le      vc_prd_being_le
v_prd_been_le       vc_prd_been_le
v_prd_am_le         vc_prd_am_le
v_prd_am-cx_le      vc_prd_am_cx_le
v_prd_is_le         vc_prd_is_le
v_prd_is-cx_le      vc_prd_is_cx_le
v_prd_are_le        vc_prd_are_le
v_prd_are-cx_le     vc_prd_are_cx_le
v_prd_was_le        vc_prd_was_le
