
New le type         Old le type
------------------- -------------------------------- 
av_-_s-cp-mc-pr_le  adv_s_pre_word_root_le     
av_-_s-not_le       adv_not_le                 
av_-_s-not-prdp_le  adv_neg_prdp_le            
av_-_s-negmod_le    adv_negmod_le              
av_-_s-rather_le    adv_rather_le              
av_-_i-vp_le        adv_int_vp_le              
av_-_i-vp-po_le     adv_int_vp_post_le         
av_-_i-vp-pr_le     adv_int_vp_pre_le          
av_-_i-ap-pp_le     adv_int_a_or_p_le          
av_-_i-vp-x_le      adv_int_vp_aux_le          
av_-_i-vp-x-nmd_le  adv_vp_aux_only_le         
av_-_i-vp-x-now_le  adv_int_vp_aux_now_le      
av_-_i-vp-po-nmb_le adv_int_vp_post_nonmob_le  
av_-_dc-pr_le       adv_disc_preh_le           
av_-_dc-grt-pr_le   adv_disc_preh_grt_le       
av_-_dc-po_le       adv_disc_posth_le          
av_-_dc-grt-po_le   adv_disc_posth_grt_le      
av_-_dc-like-pr_le  adv_disc_like_preh_le      
av_-_dc-like-po_le  adv_disc_like_posth_le     
av_-_dc-pls_le      adv_disc_please_le         
av_-_dg_le          adv_degree_spec_le         
av_-_dg-v_le        adv_degree_spec_v_le       
av_-_dg-m_le        adv_degree_spec_m_le       
av_-_dg-jov_le      adv_degree_spec_jov_le     
av_-_dg-jo_le       adv_degree_spec_jo_le      
av_-_dg-tt_le       adv_degree_spec_tt_le      
av_-_dg-dir_le      adv_degree_spec_dir_le     
av_-_dg-jov-only_le adv_degree_spec_jov_only_le
av_-_dg-det_le      adv_degree_spec_det_only_le
av_-_dg-ppdir_le    adv_degree_spec_prep_dir_on
av_-_dg-ap_le       adv_degree_spec_adj_le     
av_-_dg-any_le      adv_degree_spec_nospec_le  
av_-_dg-v-wh_le     adv_wh_degree_spec_le      
av_-_dg-m-wh_le     adv_wh_degree_spec_m_le    
av_pp_dg-as_le      as_degree_spec_le          
av_vp_dg-too_le     too_degree_spec_le         
av_vpslnp_dg-too_le too_degree_spec_sl_le      
av_cp_dg-so_le      so_degree_spec_le          
av_pp_dg-cmp_le     more_degree_spec_le        
av_-_dg-cmp-so_le   comp_degree_spec_nc_le     
av_-_dg-cmp-more_le comp_degree_spec_more_nc_le
av_-_dg-enough_le   comp_degree_spec_enough_le 
av_-_dg-sup_le      adv_degree_spec_sup_le     
av_-_pr-myself_le   adv_refl_pro_myself_le     
av_-_pr-yrself_le   adv_refl_pro_yourself_le   
av_-_pr-herself_le  adv_refl_pro_herself_le    
av_-_pr-himself_le  adv_refl_pro_himself_le    
av_-_pr-itself_le   adv_refl_pro_itself_le     
av_-_pr-oneself_le  adv_refl_pro_oneself_le    
av_-_pr-ourslvs_le  adv_refl_pro_ourselves_le  
av_-_pr-yrslvs_le   adv_refl_pro_yourselves_le 
av_-_pr-thmslvs_le  adv_refl_pro_themselves_le 
av_-_i-unk_le       adv_word_nale              
aj_-_i_le           adj_intrans_le             
aj_-_i-att_le       adj_attr_intrans_le        
aj_-_i-att-nsp_le   adj_attr_nospec_le         
aj_-_i-prd_le       adj_pred_intrans_le        
aj_-_i-prd-nmd_le   adj_pred_nomod_le          
aj_-_i-prd-ndpt_le  adj_pred_nodpct_le         
aj_-_i-ndpt_le      adj_intrans_nodpct_le      
aj_-_i-wthr_le      adj_atrans_le              
aj_pp_i-time_le     adj_atrans_pp_le           
aj_pp_i_le          adj_trans_le               
aj_pp_i-prd_le      adj_pred_trans_le          
aj_pp_i-obl_le      adj_trans_oblig_le         
aj_pp_i-ind_le      adj_trans_pp_ind_le        
aj_vp_i-seq_le      adj_reg_equi_le            
aj_vp_i-seq-nmd_le  adj_reg_equi_nomod_le      
aj_vp_i-seq-prp_le  adj_equi_prp_le            
aj_pp-vp_i-it_le    adj_reg_atrans_le          
aj_pp-cp_i-it_le    adj_reg_atrans_cp_le       
aj_pp-cp_i-it-c_le  adj_reg_atrans_that_cp_le  
aj_pp-vp_i-tgh_le   adj_tough_atrans_le        
aj_vp_i-wrth_le     adj_worth_atrans_le        
aj_np_gap_le        adj_np_gap_le              
aj_cp_i_le          adj_reg_cp_le              
aj_cp_i-fin_le      adj_reg_that_cp_le         
aj_cp_i-bse_le      adj_atrans_bse_cp_le       
aj_-_i-wh_le        adj_wh_le                  
aj_pp_i-cmp_le      adj_comp_le                
aj_pp_i-more_le     adj_comp_more_le           
aj_pp_i-onemore_le  adj_comp_one_more_le       
aj_pp_i-cmp-dif_le  adj_comp_alt_le            
aj_pp_i-cmp-sme_le  adj_same_le                
aj_pp_i-cmp-wthr_le adj_atrans_comp_le         
aj_pp_i-cmp-oth_le  adj_comp_trans_le          
aj_-_i-sup_le       adj_superl_le              
aj_-_i-most_le      adj_superl_most_le         
aj_-_i-sup-it_le    adj_atrans_superl_le       
aj_pp_i-x-to-y_le   adj_x_to_y_le              
aj_-_i-mnt-pr_le    adj_minute_preh_le         
aj_-_i-mnt-po_le    adj_minute_posth_le        
aj_-_i-mnt-app_le   adj_approx_minute_le       
aj_-_i-crd-one_le   adj_bare_unspecified_card_one_le
aj_-_i-crd-two_le   adj_bare_unspecified_card_two_le
aj_-_i-crd-thr_le   adj_bare_unspecified_card_three_le
aj_-_i-crd-six_le   adj_bare_unspecified_card_six_le
aj_-_i-crd-nine_le  adj_bare_unspecified_card_nine_le   
aj_-_i-crd-twlv_le  adj_bare_unspecified_card_twelve_le
aj_-_i-crd-hnd_le   adj_bare_specified_card_hundred_le
aj_-_i-crd-dzn_le   adj_bare_specified_card_dozen_le
aj_-_i-crd-thd_le   adj_bare_specified_card_thousand_le
aj_-_i-crd-mln_le   adj_bare_specified_card_milllion_le
aj_-_i-crd-bln_le   adj_bare_specified_card_billion_le
aj_-_i-crd-trln_le  adj_bare_specified_card_trillion_le
aj_-_i-crd-app_le   adj_approx_bare_unspecified_card_le
aj_np_i-crd-one_le  adj_bare_unspecified_card_wcomps_one_le
aj_np_i-crd-nsp_le  adj_complemented_unspecified_card_le
aj_np_i-crd-hnd_le  adj_complemented_specified_card_hundred_le
aj_np_i-crd-thd_le  adj_complemented_specified_card_thousand_le
aj_np_i-crd-mln_le  adj_complemented_specified_card_million_le
aj_np_i-crd-bln_le  adj_complemented_specified_card_billion_le
aj_np_i-crd-trln_le adj_complemented_specified_card_trillion_le
aj_-_i-ord-one_le   adj_bare_unspecified_ord_one_le
aj_-_i-ord-two_le   adj_bare_unspecified_ord_two_le
aj_-_i-ord-thr_le   adj_bare_unspecified_ord_three_le
aj_-_i-ord-six_le   adj_bare_unspecified_ord_six_le
aj_-_i-ord-nine_le  adj_bare_unspecified_ord_nine_le
aj_-_i-ord-twlv_le  adj_bare_unspecified_ord_twelve_le
aj_-_i-ord-hnd_le   adj_bare_specified_ord_hundred_le
aj_-_i-ord-thd_le   adj_bare_specified_ord_thousand_le
aj_-_i-ord-mln_le   adj_bare_specified_ord_million_le
aj_-_i-one_le       adj_one_nonprd_le          
aj_np_i-frct-one_le adj_one_nonprd_fract_le    
aj_np_i-frct-a_le   adj_one_fract_a_le         
aj_np_i-frct-an_le  adj_one_fract_an_le        
aj_np_i-frct-ath_le adj_one_fract_le           
aj_np_i-frct_le     fraction_le                
aj_-_i-one-nmd_le   adj_one_prd_le             
aj_-_i-an-nmd_le    adj_one_prd_an_le          
aj_-_i-num_le       several_a_few_num_le       
aj_-_i-nsp_le       adj_intrans_notb_le        
aj_-_i-nsp-att_le   adj_attr_intrans_notb_le   
aj_-_i-many_le      adj_attr_intrans_que_le    
aj_-_i-much_le      adj_attr_intrans_que_div_le
aj_-_i-mneg_le      adj_attr_intrans_neg_le    
aj_-_i-cmpd_le      adj_compound_le            
aj_-_prt_le         adj_prtcl_le               
aj_-_i-poss_le      adj_poss_le                
aj_np_i_le          adj_np_trans_le            
aj_-_i-unk_le       adj_intrans_nale           
aj_-_i-cmp-unk_le   adj_intrans_compar_nale    
aj_-_i-sup-unk_le   adj_intrans_superl_nale    
p_np_i-nger_le      p_noger_le
p_np_i-nm_le        p_nmod_le
p_np_i-than_le      p_than_le
p_np_i-nm-no-tm_le  p_nmod_no_tmod_le
p_np_i-nm-poss_le   p_nmod_poss_le
p_np_i-poss-gen_le  p_poss_gen_le
p_np_i-ngap_le      p_noslash_le
p_np_ptcl_le        p_prtcl_le
p_prd_ptcl-ngap_le  p_noslash_prtcl_le
p_np_ptcl-ngap_le   p_noslash_prtcl_ncomp_le
p_np_ptcl-of_le     p_prtcl_of_le
p_np_i_le           p_le
p_np_i-reg_le       p_reg_le
p_np_i-dgsp_le      p_reg_degsp_le
p_np_i-ger_le       p_gercomp_le
p_np_i-nsp-ngap_le  p_nospec_nogap_le
p_np_i-tmp_le       p_temp_le
p_np_i-tmp-vm_le    p_temp_vmod_le
p_pp*_i_le          p_ppcomp*_le
p_pp_i-coprd_le     p_ppcomp_copred_le
p_np-ptcl_i_le      p_ditrans_le
p_np-pp_i-frm-to_le p_ditrans_from_to_le
p_nb-pp_i-frm-to_le p_ditrans_from_to_nbar_le
p_vp_i_le           p_prdp_vp_le
p_prd_ptcl_le       p_prdp_sel_le
p_prd_i_le          p_prdp_le
p_np_i-nnm_le       p_no_nmod_le
p_np_i-nnm-npro_le  p_no_nmod_nopro_le
pp_-_i_le           pp_le
pp_-_i_le           pp_reg_le
pp_-_ptcl_le        pp_prtcl_le
pp_-_i-vm_le        pp_vpmod_le
pp_-_i-nm_le        pp_nmod_le
pp_-_i-dir_le       pp_dir_le
pp_-_i-dir-nnm_le   pp_dir_nomod_le
pp_-_i-nm-tmp_le    pp_nmod_temp_le
pp_-_i-po_le        pp_post_le
pp_-_i-nnm_le       pp_no_nmod_le
p_nb_i_le           p_nbar_comp_le
p_nb_i-per_le       p_nbar_comp_per_le
p_nb_i-oblspr_le    p_nbar_comp_oblspr_le
p_nb_i-nm_le        p_nbar_comp_nmod_le
p_nb_i-nm-an_le     p_nbar_comp_nmod_an_le
p_nb_i-nmd_le       p_nbar_comp_nomod_le
p_np_i-msr_le       p_measnp_comp_le
pp_-_i-wh_le        pp_wh_le
pp_-_i-rel_le       pp_rel_le
p_ap_i_le           p_as_adj_le
p_np_i-prd-a_le     pred_a_prep_le
p_np_i-prd-an_le    pred_an_prep_le
p_cp_s_le           p_subconj_le
p_cp_inv-s_le       --
p_cp_s-ncop_le      p_subconj_nocop_le
p_cp_s-if-unsp_le   p_subconj_if_unspec_le
p_vp_inf_le         p_subconj_inf_le
p_prd_s_le          p_subconj_prd_le
p_prd_s-v-p_le      p_subconj_prd_v_or_p_le
p_np_s_le           p_subconj_np_le
p_adv_s_le          p_subconj_dadv_le
d_-_pl_le           det_pl_le
d_-_pl-modn_le      det_pl_modn_le
d_-_sgm_le          det_sm_le
d_-_next_le         det_next_le
d_-_last_le         det_last_le
d_-_proxday_le      det_yesterday_tomorrow_le
d_-_all-tm_le       det_all_temp_le
d_-_prt_le          det_part_le
d_-_prt-div_le      det_part_div_le
d_-_prt-anthr_le    det_part_another_le
d_-_prt-sg_le       det_part_sg_le
d_-_prt-sgm-nag_le  det_part_ms_noagr_le
d_-_prt-pl_le       det_part_pl_le
d_-_prt-pl-both_le  det_part_pl_both_le
d_-_prt-plm_le      det_part_pl_mass_le
d_-_prt-plm-unsp_le det_part_pl_mass_unsp_le
d_-_prt-plm-nag_le  det_part_pl_mass_noagr_le
d_-_prt-unsp_le     det_part_unsp_le
d_-_no_le           det_no_le
d_-_ndiv_le         det_nondiv_le
d_-_the_le          det_the_le
d_-_wh_le           det_wh_le
d_-_sg-nmd_le       det_sg_nomod_a_le
d_-_sg-nmd-an_le    det_sg_nomod_an_le
d_-_sg-every_le     det_sg_every_le
d_-_sg-some_le      det_sg_some_le
d_-_sg-some-an_le   det_sg_some_an_le
d_-_wh-poss_le      det_wh_poss_le
d_-_poss-her_le     det_poss_her_le
d_-_poss-his_le     det_poss_his_le
d_-_poss-his-her_le det_poss_his_her_le
d_-_poss-its_le     det_poss_its_le
d_-_poss-my_le      det_poss_my_le
d_-_poss-our_le     det_poss_our_le
d_-_poss-their_le   det_poss_their_le
d_-_poss-your_le    det_poss_your_le
d_-_poss-rel_le     det_rel_poss_le
d_-_poss-mine_le    det_poss_nospec_mine_le
d_-_poss-ours_le    det_poss_nospec_ours_le
d_-_poss-yours_le   det_poss_nospec_yours_le
d_-_poss-his-ns_le  det_poss_nospec_his_le
d_-_poss-hers_le    det_poss_nospec_hers_le
d_-_poss-theirs_le  det_poss_nospec_theirs_le
d_-_freerel_le      det_freerel_le
d_-_month_le        det_month_le
c_xp_and_le         conj_complex_and_le
c_xp_and-both_le    conj_complex_and_both_le
c_xp_and-then_le    conj_complex_and_then_le
c_xp_and-then-fr_le conj_complex_and_then_first
c_xp_and-also_le    conj_complex_and_also_le
c_xp_and-yet_le     conj_complex_and_yet_le
c_xp_then_le        conj_complex_then_le
c_xp_then-first_le  conj_complex_then_first_le
c_xp_and-so_le      conj_complex_and_so_le
c_xp_and-finally_le conj_complex_and_finally_le
c_xp_or-else_le     conj_complex_or_else_le
c_xp_except-that_le conj_complex_except_that_le
c_xp_except_le      conj_complex_except_le
c_xp_aswellas_le    conj_complex_as_well_as_le
c_xp_aswellas-bt_le conj_complex_as_well_as_bot
c_xp_but_le         conj_complex_but_le
c_xp_nor_le         conj_complex_nor_le
c_xp_nor-neither_le conj_complex_nor_neither_le
c_xp_or_le          conj_complex_or_le
c_xp_or-either_le   conj_complex_or_either_le
c_xp_plus_le        conj_complex_plus_le
c_xp_plus-minus_le  conj_complex_plus_minus_le
c_xp_so_le          conj_complex_so_le
c_xp_vs_le          conj_complex_vs_le
c_xp_minus_le       conj_complex_minus_le
c_xp_but-not_le     conj_complex_but_not_le
c_xp_but-then_le    conj_complex_but_then_le
c_xp_nottomentn_le  conj_complex_not_to_mention
c_xp_amp_le         conj_complex_amp_le
c_xp_amp-both_le    conj_complex_amp_both_le
c_xp_rather_le      conj_complex_rather_le
c_xp_instead_le     conj_complex_instead_le
c_xp_and-or_le      conj_complex_and_or_le
c_xp_not_le         conj_complex_not_le
c_xp_yet_le         conj_complex_yet_le
c_xp_even_le        conj_complex_even_le
c_xp_after_le       conj_complex_after_le
c_xp_both-mrk_le    conj_atomic_both_le
c_xp_either-mrk_le  conj_atomic_either_le
c_xp_neither-mrk_le conj_atomic_neither_le
c_xp_first-mrk_le   conj_atomic_first_le
c_xp_and-num_le     conj_and_num_le
c_xp_and-fract_le   conj_and_fract_le
c_-_etc_le          etc_conj_le
c_-_etc-qmark_le    etc_conj_qmark_le
c_-_except_le       except_etc_conj_le
c_-_except-coln_le  except_etc_colon_le
cm_np-vp_that_le    comp_that_le
cm_np-vp_that-sv_le comp_that_subj_le
cm_np-vp_for_le     comp_for_le
cm_np-vp_like_le    comp_like_le
cm_vp_to_le         comp_to_prop_le
cm_vp_to-nprop_le   comp_to_nonprop_le
cm_vp_and_le        comp_inf_and_le
cm_vp_but_le        comp_inf_but_le
cm_vp_from_le       comp_inf_from_le
cm_-_to_le          comp_to_prop_elided_le
cm_-_to-nprop_le    comp_to_nonprop_elided_le
cm_np-vp_wh_le      comp_whether_fin_le
cm_np-vp_if-indc_le comp_if_indic_le
cm_np-vp_if-sv_le   comp_if_subjnct_le
cm_np-vp_how_le     how_compl_mc_le
cm_vp_wh_le         comp_whether_inf_le
x_-_so-cp_le        s_compl_phrase_le
x_-_why-cp_le       s_compl_wh_phrase_le
x_xp_howabt-n-p_le  comp_how_about_n_or_p_le
x_pp_howabt_le      comp_how_about_pp_le
x_cp_howabt_le      comp_how_about_s_le
x_vp_howabt_le      comp_how_about_vp_le
x_vp_why_le         comp_why_vp_le
x_-_why_le          comp_why_nocomp_le
x_-_wh-the-hell_le  wh_the_hell_le
x_-_am-pm_le        xp_am_pm_le
x_-_bc-ad_le        xp_bc_ad_le
pt_-_s-dash_le      punct_s_dash_le
pt_-_3dots-rgt_le   punct_3dots_right_le
pt_-_3dots-lft_le   punct_3dots_left_le
pt_-_dbl-hyphn_le   punct_dbl_hyphen_le
pt_-_hyphn-rgt_le   punct_hyphen_right_le
