an_per_p a_per_p
online_nom1 online_nom2 online_nom3
upwards_n1 upward_n1
westwards_n1 westward_n1
nowhere_n1 nowhere_n2
eastwards_n1 eastward_n1
everywhere_n1 everywhere_n2
outwards_n1 outward_n1
northwards_n1 northward_n1
southwards_n1 southward_n1
downwards_n1 downward_n1
offline_nom1 offline_nom2 offline_nom3
southwest_n2 southwest_n5 sw_n2
northwest_n2 northwest_n5 nw_n2
someplace_n1 someplace_n2 somewhere_n1 somewhere_n2
inwards_n1 inward_n1
anyplace_n1 anyplace_n2 anywhere_n1 anywhere_n2
ne_n2 northeast_n3 northeast_n5
se_n2 southeast_n2 southeast_n5
twentyseventh_day twentyseventh_day_2 twentyseventh_day_num
twelfth_day twelfth_day_num
thirteenth_day thirteenth_day_num
six_day six_day_num six_day_num_ersatz
thirtieth_day thirtieth_day_num
tenth_day tenth_day_num
twentyfour_day twentyfour_day_2 twentyfour_day_num twentyfour_day_num_ersatz
eighth_day eighth_day_num
sixth_day sixth_day_num
ninth_day ninth_day_num
sixteenth_day sixteenth_day_num
fifth_day fifth_day_num
fifteenth_day fifteenth_day_num
third_day third_day_num
twentythree_day twentythree_day_2 twentythree_day_num twentythree_day_num_ersatz
twentyfirst_day twentyfirst_day_2 twentyfirst_day_num
seventh_day seventh_day_num
four_day four_day_num four_day_num_ersatz
eighteenth_day eighteenth_day_num
seven_day seven_day_num seven_day_num_ersatz
twentyfifth_day twentyfifth_day_2 twentyfifth_day_num
twentyfourth_day twentyfourth_day_2 twentyfourth_day_num
second_day second_day_num
fourteen_day fourteen_day_num fourteen_day_num_ersatz
twentytwo_day twentytwo_day_2 twentytwo_day_num twentytwo_day_num_ersatz
twentyseven_day twentyseven_day_2 twentyseven_day_num twentyseven_day_num_ersatz
twentieth_day twentieth_day_num
thirty_one_day thirty_one_day_num thirty_one_day_num_ersatz
two_day two_day_num two_day_num_ersatz
three_day three_day_num three_day_num_ersatz
twelve_day twelve_day_num twelve_day_num_ersatz
nine_day nine_day_num nine_day_num_ersatz
five_day five_day_num five_day_num_ersatz
seventeen_day seventeen_day_num seventeen_day_num_ersatz
fourth_day fourth_day_num
nineteen_day nineteen_day_num nineteen_day_num_ersatz
one_day one_day_num : one_day_num_ersatz
ten_day ten_day_num ten_day_num_ersatz
twentyeight_day twentyeight_day_2 twentyeight_day_num twentyeight_day_num_ersatz
fifteen_day fifteen_day_ersatz fifteen_day_num
seventeenth_day seventeenth_day_num
sixteen_day sixteen_day_num sixteen_day_num_ersatz
twentysix_day twentysix_day_2 twentysix_day_num twentysix_day_num_ersatz
twenty_day twenty_day_num twenty_day_num_ersatz
twentyeighth_day twentyeighth_day_2 twentyeighth_day_num
twentysixth_day twentysixth_day_2 twentysixth_day_num
twentythird_day twentythird_day_2 twentythird_day_num
fourteenth_day fourteenth_day_num
twentyone_day_num twentyone_day_num_ersatz twenty_one_day twenty_one_day_2
twentysecond_day twentysecond_day_2 twentysecond_day_num
twentyfive_day twentyfive_day_2 twentyfive_day_num twentyfive_day_num_ersatz
eight_day eight_day_num eight_day_num_ersatz
twentynine_day twentynine_day_2 twentynine_day_num twentynine_day_num_ersatz
eleventh_day eleventh_day_num
thirtyfirst_day thirty_first_day_num
eighteen_day eighteen_day_num eighteen_day_num_ersatz
first_day first_day_num
twentyninth_day twentyninth_day_2 twentyninth_day_num
eleven_day eleven_day_ersatz eleven_day_num
thirteen_day thirteen_day_num thirteen_day_num_ersatz
thirty_day thirty_day_num thirty_day_num_ersatz
nineteenth_day nineteenth_day_num
july_2 july_abb_n4 : july_abb_n2
april april_abb_n3 : april_abb_n1
june june_abb_n3 : june_abb_n1
july july_abb_n3 : july_abb_n1
november november_abb_n3 : november_abb_n1
june_2 june_abb_n4 : june_abb_n2
april_2 april_abb_n4 : april_abb_n2
december december_abb_n3 : december_abb_n1
august august_abb_n3 : august_abb_n1
february february_abb_n3 : february_abb_n1
october october_abb_n3 : october_abb_n1
february_2 february_abb_n4 : february_abb_n2
september_2 september_abb_n6 september_abb_n7 : september_abb_n2 september_abb_n3
august_2 august_abb_n4 : august_abb_n22
january january_abb_n3 : january_abb_n1
november_2 november_abb_n4 : november_abb_n2
october_2 october_abb_n4 : october_abb_n2
september september_abb_n5 september_abb_n8 : september_abb_n1 september_abb_n4
december_2 december_abb_n4 : december_abb_n2
january_2 january_abb_n4 : january_abb_n2
march_2 march_abb_n4 : march_abb_n2
march march_abb_n3 : march_abb_n1
best_a2 best_a3
highest_a1_prd highest_a2_prd
overcharge_v1 overcharge_v2
characterise_v13 characterize_v13
practice_upon_v1 practise_upon_v1
email_v2 e_mail_v2
do1_neg_1 : do1_neg_2
sleighride_v1 sleighride_v2
deactivate_v1 deactivate_v2
fed_ex_v2 fed_ex_v2a
did1_neg_1 : did1_neg_2
email_v1 e_mail_v1
practice_v1 practise_v1
download_v1 download_v2
special_order_v1 special_order_v2
thanks_abb_v1 thanks_much_v1 thanks_v1
cancell_v1 cancel_v1
fedex_v1 fedex_v1a
prepay_v1 prepay_v2
misorder_v1 misorder_v2 misorder_v3
reorder_v1 reorder_v2 reorder_v3
preload_v1 preload_v3 preload_v5
does1_neg_1 : does1_neg_2
re-unify_v1 reunify_v1
preload_v2 preload_v4 preload_v6
backorder_v1 back_order_v1 back_order_v2
daydream_v1 day_dream_v1 day_dream_v2
gift_wrap_v1 gift_wrap_v2
one_hour one_hour_digit
noonish twelvish
midday noon noontime twelve_hour
clocktime-ersatz clocktime-ersatz_2
weekend_n1 weekend_n2
till_p1 till_p2
a_little_bit a_little_bit_adv2
 : be_id_are_cx be_id_are_cx_2
 : be_id_was_neg_subj_1 be_id_was_neg_subj_2
be_id_were_neg_1 : be_id_were_neg_2
be_id_is_cx_2 : be_id_is_cx
be_id_was_neg_1 : be_id_was_neg_2
 : be_id_am_cx be_id_am_cx_2
be_id_is_neg_1 : aint_be_id_is_neg_1 aint_be_id_is_neg_2 be_id_is_neg_2
aint_be_id_are_neg_1 be_id_are_neg_1 : aint_be_id_are_neg_2 be_id_are_neg_2
 : be_id_were_neg_subj_1 be_id_were_neg_subj_2
aint_be_id_am_neg_1 be_id_am_neg_1 : aint_be_id_am_neg_2 be_id_am_neg_2
in_regards_to in_regard_to
specification_n1 spec_n1
catalogue_n1 catalog_n1
southeast_n1 southeast_n3 southeast_n4
northeast_n1 northeast_n2 northeast_n4
number_char_n1 : number_abb_n1 number_abb_n2 number_abb_n3 number_abb_n4
lookout_n1 look_out_n1
gigabyte_n1 gigabyte_n2 gigabyte_n3
percent_char_n1 percent_n1 per_cent_n1
megabyte_n1 megabyte_n2 megabyte_n3 megabyte_n4
lifetime_n1 lifetime_n2
mix_up_n1 mix_up_n2 mix_up_n3
customer_n1 : customer_abb_n1 customer_abb_n2 customer_abb_n3
northwest_n1 northwest_n3 northwest_n4
southwest_n1 southwest_n3 southwest_n4
stop_payment_n1 stop_payment_n2
download_n1 download_n2
line_up_n1 line_up_n2 line_up_n3
upstream_pp upstream_pp2
second_n1 second_n2
 : ought_aux_neg_1 ought_aux_neg_2
new_years_eve new_years_eve_2 new_years_eve_apos
new_years_day new_years_day_2 new_years_day_3 new_years_day_3_apos new_years_day_apos
st_nicholas_day st_nicholas_day_2
mothers_day mothers_day_2 mothers_day_hd
care_of_prep care_of_prep_2
dq_punct dq_punct2
dont_1 dont_3 : dont_2
lets_1 : lets_2 lets_3
how_about_s how_bout_s what_do_you_say what_if
etc_conj etc_conj_2 etc_conj_3
how_about_vp how_bout_vp what_about_vp
how_about how_bout what_about
eleventh ord11ersatz
ord7ersatz seventh
fourteenth ord14ersatz
ord70ersatz seventieth
ninetieth ord90ersatz
fiftieth ord50ersatz
ord60ersatz sixtieth
ord13ersatz thirteenth
eighteenth ord18ersatz
ord3ersatz third
ord17ersatz seventeenth
fifteenth ord15ersatz
ord10ersatz tenth
fourth ord4ersatz
fifth ord5ersatz
ninth ord9ersatz
ord6ersatz sixth
ord2ersatz second
ord30ersatz thirtieth
ord20ersatz twentieth
ord16ersatz sixteenth
nineteenth ord19ersatz
first ord1ersatz
eighth ord8ersatz
ord12ersatz twelfth
fortieth ord40ersatz
 : have_bse_aux_cx_1 have_bse_aux_cx_2
 : has_aux_cx has_aux_cx_2
 : had_aux_cx had_aux_cx_2
